stock1,stock2,trade_capital,open,loss,reward,open_num,trading_history,trading history
AAVEUSDT,ELFUSDT,76.71216421360005,1.5,1000,1.5760123426371093,1,,"[{'time': 723, 'w1': -0.5025550370210536, 'stock1_payoff': -85.03231226396227, 'w2': 0.4974449629789464, 'stock2_payoff': 0.1830831760340086, 'type': '上開倉'}, {'time': 1354, 'w1': 0.5025550370210536, 'stock1_payoff': 86.61088789074911, 'w2': -0.4974449629789464, 'stock2_payoff': -0.18564646018374278, 'type': '正常平倉'}]"
AAVEUSDT,ETHUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
ATOMUSDT,BCHUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
ATOMUSDT,ELFUSDT,12.728093517751413,1.5,1000,0.04511823347585514,1,,"[{'time': 728, 'w1': -0.6554783032124432, 'stock1_payoff': -14.001016556617785, 'w2': 0.3445216967875569, 'stock2_payoff': 0.12717861679540624, 'type': '上開倉'}, {'time': 736, 'w1': 0.6554783032124432, 'stock1_payoff': 14.045464540358624, 'w2': -0.3445216967875569, 'stock2_payoff': -0.1265083670603909, 'type': '正常平倉'}]"
AVAXUSDT,FTMUSDT,75.1881529804473,1.5,1000,0.7053153707998627,1,,"[{'time': 726, 'w1': 0.7040476650512589, 'stock1_payoff': 74.77018589036963, 'w2': 0.2959523349487411, 'stock2_payoff': 0.41796709007767224, 'type': '上開倉'}, {'time': 834, 'w1': -0.7040476650512589, 'stock1_payoff': -74.07285484004295, 'w2': -0.2959523349487411, 'stock2_payoff': -0.4099827696044911, 'type': '正常平倉'}]"
AVAXUSDT,LUNAUSDT,90.97062379775494,1.5,1000,1.053513619038327,1,,"[{'time': 726, 'w1': 0.6471729059644276, 'stock1_payoff': 68.73006031295895, 'w2': 0.35282709403557244, 'stock2_payoff': 22.24056348479599, 'type': '下開倉'}, {'time': 841, 'w1': -0.6471729059644276, 'stock1_payoff': -67.71370115105805, 'w2': -0.35282709403557244, 'stock2_payoff': -22.203409027658573, 'type': '正常平倉'}]"
AVAXUSDT,POWRUSDT,16.638585579101463,1.5,1000,0.4358540983653851,1,,"[{'time': 760, 'w1': 0.15203759767765895, 'stock1_payoff': 16.26942853910004, 'w2': 0.8479624023223411, 'stock2_payoff': 0.3691570400014219, 'type': '上開倉'}, {'time': 845, 'w1': -0.15203759767765895, 'stock1_payoff': -15.834715798128181, 'w2': -0.8479624023223411, 'stock2_payoff': -0.368015682607896, 'type': '正常平倉'}]"
AVAXUSDT,SUSHIUSDT,80.17352644958108,1.5,1000,0.47526880332849153,1,,"[{'time': 720, 'w1': 0.7520786158582597, 'stock1_payoff': 78.76719772834682, 'w2': 0.2479213841417403, 'stock2_payoff': 1.4063287212342628, 'type': '下開倉'}, {'time': 845, 'w1': -0.7520786158582597, 'stock1_payoff': -78.32898784163775, 'w2': -0.2479213841417403, 'stock2_payoff': -1.3692698046148317, 'type': '正常平倉'}]"
AVAXUSDT,TRXUSDT,32.78191503187541,1.5,1000,3.1821692071085788,1,,"[{'time': 720, 'w1': -0.3467534871088644, 'stock1_payoff': -36.370973262848786, 'w2': -0.6532465128911357, 'stock2_payoff': -0.0533767725683347, 'type': '下開倉'}, {'time': 973, 'w1': 0.3467534871088644, 'stock1_payoff': 39.553698689765696, 'w2': 0.6532465128911357, 'stock2_payoff': 0.05282055276000328, 'type': '正常平倉'}]"
AVAXUSDT,YFIUSDT,2305.044892940386,1.5,1000,-105.7389211604047,1,,"[{'time': 726, 'w1': 0.914280122264468, 'stock1_payoff': 97.09696955334275, 'w2': -0.08571987773553193, 'stock2_payoff': -2453.2754704300482, 'type': '上開倉'}, {'time': 874, 'w1': -0.914280122264468, 'stock1_payoff': -94.75599187148946, 'w2': 0.08571987773553193, 'stock2_payoff': 2345.1955715877903, 'type': '正常平倉'}]"
BNBUSDT,FTMUSDT,374.798910925763,1.5,1000,1.3562143218222376,1,,"[{'time': 732, 'w1': -0.7945845917282045, 'stock1_payoff': -416.12395068806075, 'w2': 0.20541540827179552, 'stock2_payoff': 0.2873553065083024, 'type': '上開倉'}, {'time': 737, 'w1': 0.7945845917282045, 'stock1_payoff': 417.4832465491302, 'w2': -0.20541540827179552, 'stock2_payoff': -0.29043684575549167, 'type': '正常平倉'}]"
BNBUSDT,LUNAUSDT,364.5359027080707,1.5,1000,1.7372453738370446,1,,"[{'time': 731, 'w1': -0.7384294371701351, 'stock1_payoff': -386.7893391897167, 'w2': 0.26157056282986496, 'stock2_payoff': 16.425497437325653, 'type': '上開倉'}, {'time': 742, 'w1': 0.7384294371701351, 'stock1_payoff': 388.7160492771811, 'w2': -0.26157056282986496, 'stock2_payoff': -16.614962150953023, 'type': '正常平倉'}]"
DOGEUSDT,ELFUSDT,0.23290663231717884,1.5,1000,-0.00272628449777039,1,,"[{'time': 720, 'w1': -0.6282500366151285, 'stock1_payoff': -0.10680250622457185, 'w2': 0.3717499633848715, 'stock2_payoff': 0.13678437671506416, 'type': '上開倉'}, {'time': 1437, 'w1': 0.6282500366151285, 'stock1_payoff': 0.1061404563359868, 'w2': -0.3717499633848715, 'stock2_payoff': -0.1388486113242495, 'type': '尾盤強制平倉'}]"
DOGEUSDT,YFIUSDT,3783.132480256522,1.5,1000,-131.5691426446192,1,,"[{'time': 720, 'w1': -0.8530949474190638, 'stock1_payoff': -0.14502614106124084, 'w2': -0.14690505258093625, 'stock2_payoff': -4203.335507477296, 'type': '下開倉'}, {'time': 987, 'w1': 0.8530949474190638, 'stock1_payoff': 0.14668259552064444, 'w2': 0.14690505258093625, 'stock2_payoff': 4071.7647083782176, 'type': '正常平倉'}]"
ELFUSDT,MATICUSDT,1.0853416872933646,1.5,1000,0.00047326285627230513,1,,"[{'time': 725, 'w1': 0.5059182472182383, 'stock1_payoff': 0.18665638715861835, 'w2': -0.4940817527817616, 'stock2_payoff': -0.9985392223719401, 'type': '上開倉'}, {'time': 737, 'w1': -0.5059182472182383, 'stock1_payoff': -0.18567199672909349, 'w2': 0.4940817527817616, 'stock2_payoff': 0.9980280947986876, 'type': '正常平倉'}]"
ELFUSDT,NEARUSDT,3.3251249292910123,1.5,1000,-0.12654451583782164,1,,"[{'time': 720, 'w1': 0.6047057402827453, 'stock1_payoff': 0.22249981419625034, 'w2': -0.3952942597172549, 'stock2_payoff': -3.44736123899418, 'type': '下開倉'}, {'time': 1437, 'w1': -0.6047057402827453, 'stock1_payoff': -0.22585759399560534, 'w2': 0.3952942597172549, 'stock2_payoff': 3.3241745029557133, 'type': '尾盤強制平倉'}]"
ELFUSDT,UNIUSDT,8.025305571515831,1.5,1000,0.012021098832163457,1,,"[{'time': 723, 'w1': 0.3799264979368551, 'stock1_payoff': 0.13983084577881552, 'w2': -0.6200735020631449, 'stock2_payoff': -8.761638584152239, 'type': '上開倉'}, {'time': 742, 'w1': -0.3799264979368551, 'stock1_payoff': -0.13943302474282585, 'w2': 0.6200735020631449, 'stock2_payoff': 8.773261861948413, 'type': '正常平倉'}]"
EOSUSDT,POWRUSDT,1.329308973809035,1.5,1000,0.005979596799242537,1,,"[{'time': 720, 'w1': -0.3702847947117311, 'stock1_payoff': -1.1738027992361875, 'w2': 0.6297152052882691, 'stock2_payoff': 0.27288645449646615, 'type': '上開倉'}, {'time': 758, 'w1': 0.3702847947117311, 'stock1_payoff': 1.1794366823877267, 'w2': -0.6297152052882691, 'stock2_payoff': -0.27254074084876284, 'type': '正常平倉'}]"
FTMUSDT,POWRUSDT,0.685420165205225,1.5,1000,-0.010018515733288047,1,,"[{'time': 720, 'w1': -0.3002881299418593, 'stock1_payoff': -0.4246674733637774, 'w2': 0.6997118700581407, 'stock2_payoff': 0.30321943917782523, 'type': '上開倉'}, {'time': 1437, 'w1': 0.3002881299418593, 'stock1_payoff': 0.4215418192624321, 'w2': -0.6997118700581407, 'stock2_payoff': -0.310112300809768, 'type': '尾盤強制平倉'}]"
LINKUSDT,TRXUSDT,15.627564691492662,1.5,1000,-0.5941233831208568,1,,"[{'time': 725, 'w1': -0.9174012392859304, 'stock1_payoff': -17.357231447289806, 'w2': -0.08259876071406964, 'stock2_payoff': -0.006729321035375254, 'type': '上開倉'}, {'time': 1437, 'w1': 0.9174012392859304, 'stock1_payoff': 16.763260014914128, 'w2': 0.08259876071406964, 'stock2_payoff': 0.006577370290196634, 'type': '尾盤強制平倉'}]"
LTCUSDT,SUSHIUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
LUNAUSDT,SOLUSDT,113.83921792732318,1.5,1000,1.272330081618854,1,,"[{'time': 731, 'w1': 0.45511891380944, 'stock1_payoff': 28.57949484674147, 'w2': -0.5448810861905601, 'stock2_payoff': -94.73302564509078, 'type': '下開倉'}, {'time': 940, 'w1': -0.45511891380944, 'stock1_payoff': -28.813578433275644, 'w2': 0.5448810861905601, 'stock2_payoff': 96.2394393132438, 'type': '正常平倉'}]"
MATICUSDT,NEARUSDT,4.343633184945547,1.5,1000,-0.003602848139340864,1,,"[{'time': 720, 'w1': 0.601665553836807, 'stock1_payoff': 1.2171459504552609, 'w2': -0.3983344461631931, 'stock2_payoff': -3.473874704989207, 'type': '上開倉'}, {'time': 728, 'w1': -0.601665553836807, 'stock1_payoff': -1.2123560909811661, 'w2': 0.3983344461631931, 'stock2_payoff': 3.4654819973757713, 'type': '正常平倉'}]"
MATICUSDT,POWRUSDT,0.8249650384110203,1.5,1000,-0.014251366263513199,1,,"[{'time': 720, 'w1': -0.281727820354088, 'stock1_payoff': -0.5707805640373822, 'w2': 0.7182721796459121, 'stock2_payoff': 0.31126253077737637, 'type': '上開倉'}, {'time': 901, 'w1': 0.281727820354088, 'stock1_payoff': 0.5496704167304302, 'w2': -0.7182721796459121, 'stock2_payoff': -0.3044037497339375, 'type': '正常平倉'}]"
NEARUSDT,UNIUSDT,12.354478597440734,1.5,1000,0.02092299258062802,1,,"[{'time': 721, 'w1': -0.2878499825169416, 'stock1_payoff': -2.5158088471980697, 'w2': 0.7121500174830584, 'stock2_payoff': 10.090250634962471, 'type': '下開倉'}, {'time': 723, 'w1': 0.2878499825169416, 'stock1_payoff': 2.5091609518518414, 'w2': -0.7121500174830584, 'stock2_payoff': -10.062679747035615, 'type': '正常平倉'}]"
POWRUSDT,SOLUSDT,73.25402057991845,1.5,1000,-0.3706401222317621,1,,"[{'time': 720, 'w1': 0.5396418562999149, 'stock1_payoff': 0.23385325878571184, 'w2': -0.4603581437000852, 'stock2_payoff': -81.13351924570303, 'type': '上開倉'}, {'time': 1437, 'w1': -0.5396418562999149, 'stock1_payoff': -0.23916927071212227, 'w2': 0.4603581437000852, 'stock2_payoff': 80.76819513539768, 'type': '尾盤強制平倉'}]"
POWRUSDT,SUSHIUSDT,1.8287256161288958,1.5,1000,-0.06707666550727548,1,,"[{'time': 760, 'w1': 0.7006738018229443, 'stock1_payoff': 0.3050355369284115, 'w2': -0.2993261981770557, 'stock2_payoff': -1.692988976889427, 'type': '上開倉'}, {'time': 901, 'w1': -0.7006738018229443, 'stock1_payoff': -0.29694555721256377, 'w2': 0.2993261981770557, 'stock2_payoff': 1.6178223316663038, 'type': '正常平倉'}]"
POWRUSDT,YFIUSDT,2145.517828607666,1.5,1000,70.59727259689491,1,,"[{'time': 760, 'w1': 0.9244050597218116, 'stock1_payoff': 0.40243604512965186, 'w2': 0.07559494027818835, 'stock2_payoff': 2145.1153925625367, 'type': '上開倉'}, {'time': 848, 'w1': -0.9244050597218116, 'stock1_payoff': -0.4003598313655166, 'w2': -0.07559494027818835, 'stock2_payoff': -2074.520196179406, 'type': '正常平倉'}]"
SOLUSDT,YFIUSDT,3304.4925539409473,1.5,1000,-23.567407273671193,1,,"[{'time': 728, 'w1': -0.8765378223065303, 'stock1_payoff': -153.28016898674295, 'w2': -0.12346217769346972, 'stock2_payoff': -3518.3782242809766, 'type': '下開倉'}, {'time': 940, 'w1': 0.8765378223065303, 'stock1_payoff': 154.81819922472044, 'w2': 0.12346217769346972, 'stock2_payoff': 3493.272786769328, 'type': '正常平倉'}]"
XRPUSDT,YFIUSDT,513.4632183980121,1.5,1000,97.69964227255063,1,,"[{'time': 720, 'w1': -0.9800883269637374, 'stock1_payoff': -0.7899511915327723, 'w2': -0.01991167303626268, 'stock2_payoff': -569.7247359173696, 'type': '下開倉'}, {'time': 1437, 'w1': 0.9800883269637374, 'stock1_payoff': 0.7817202137452655, 'w2': 0.01991167303626268, 'stock2_payoff': 667.4326091677077, 'type': '尾盤強制平倉'}]"
